id,timestamp,player_id,aim_offset_x,aim_offset_y,hit_x,hit_y,hit_z
1,2025-07-23T15:31:02.549870,BP_TelemetryFPS4Character_C_0,357.22,142.0,-1800.25,585.3,245.54
2,2025-07-23T15:31:02.730139,BP_TelemetryFPS4Character_C_0,358.24,143.6,-1713.48,518.49,270.29
3,2025-07-23T15:31:02.929854,BP_TelemetryFPS4Character_C_0,358.23,147.41,-1661.45,465.66,272.29
4,2025-07-23T15:31:03.132099,BP_TelemetryFPS4Character_C_0,358.32,153.02,-1582.73,418.91,276.55
5,2025-07-23T15:31:03.364658,BP_TelemetryFPS4Character_C_0,358.15,158.2,-1633.09,448.67,271.63
6,2025-07-23T15:31:03.566487,BP_TelemetryFPS4Character_C_0,357.63,166.44,-1405.36,344.66,272.57
7,2025-07-23T15:31:03.767710,BP_TelemetryFPS4Character_C_0,357.31,168.68,-1448.41,411.88,265.39
8,2025-07-23T15:31:03.966917,BP_TelemetryFPS4Character_C_0,357.48,167.98,-1683.77,572.96,256.32
9,2025-07-23T15:31:04.169621,BP_TelemetryFPS4Character_C_0,359.98,172.32,-1877.16,688.35,303.71
10,2025-07-23T15:31:04.407114,BP_TelemetryFPS4Character_C_0,358.76,170.32,-2069.37,759.21,273.14
11,2025-07-23T15:31:04.608554,BP_TelemetryFPS4Character_C_0,358.24,164.5,-1687.5,740.76,271.59
12,2025-07-23T15:31:04.809082,BP_TelemetryFPS4Character_C_0,359.31,162.46,-1729.09,728.19,290.24
13,2025-07-23T15:31:05.009830,BP_TelemetryFPS4Character_C_0,359.97,159.12,-911.01,417.18,303.99
14,2025-07-23T15:31:05.245786,BP_TelemetryFPS4Character_C_0,359.27,152.72,-1260.64,500.36,293.85
15,2025-07-23T15:31:05.447053,BP_TelemetryFPS4Character_C_0,357.9,149.22,-1296.13,461.69,273.48
16,2025-07-23T15:31:05.647779,BP_TelemetryFPS4Character_C_0,356.54,143.22,-1218.65,397.89,262.03
17,2025-07-23T15:31:05.883246,BP_TelemetryFPS4Character_C_0,355.67,137.23,-1094.91,285.73,268.17
18,2025-07-23T15:31:06.084346,BP_TelemetryFPS4Character_C_0,352.61,128.87,-1111.15,183.7,266.82
19,2025-07-23T15:31:06.285536,BP_TelemetryFPS4Character_C_0,352.96,127.82,-1197.56,161.04,268.37
20,2025-07-23T15:31:06.521072,BP_TelemetryFPS4Character_C_0,355.15,127.37,-1368.27,251.39,265.0
21,2025-07-23T15:31:06.721734,BP_TelemetryFPS4Character_C_0,356.2,128.94,-1748.58,405.59,250.3
22,2025-07-23T15:31:06.922701,BP_TelemetryFPS4Character_C_0,356.2,128.94,-1765.2,287.72,259.67
23,2025-07-23T15:31:07.124573,BP_TelemetryFPS4Character_C_0,357.72,129.86,-2043.12,418.52,271.31
24,2025-07-23T15:31:07.358215,BP_TelemetryFPS4Character_C_0,356.85,129.88,-2403.48,741.38,236.2
25,2025-07-23T15:31:07.561567,BP_TelemetryFPS4Character_C_0,356.78,125.42,-2170.94,453.48,259.36
26,2025-07-23T15:31:07.763190,BP_TelemetryFPS4Character_C_0,356.6,122.53,-2151.78,360.71,265.99
27,2025-07-23T15:31:07.964939,BP_TelemetryFPS4Character_C_0,352.48,57.58,-2014.51,37.75,273.27
28,2025-07-23T15:31:08.164916,BP_TelemetryFPS4Character_C_0,356.47,56.63,-2127.25,-25.53,291.8
29,2025-07-23T15:31:08.401506,BP_TelemetryFPS4Character_C_0,357.96,50.91,-2084.41,4.06,291.96
30,2025-07-23T15:31:08.603136,BP_TelemetryFPS4Character_C_0,355.74,48.95,-2303.36,-269.07,296.82
31,2025-07-23T15:31:08.805680,BP_TelemetryFPS4Character_C_0,355.56,48.12,-2306.75,-243.11,287.32
32,2025-07-23T15:31:09.041807,BP_TelemetryFPS4Character_C_0,354.09,36.93,-2330.38,-256.0,276.68
33,2025-07-23T15:31:09.243399,BP_TelemetryFPS4Character_C_0,351.47,25.54,-2452.28,-317.64,273.86
34,2025-07-23T15:31:09.444974,BP_TelemetryFPS4Character_C_0,349.52,19.98,-2507.24,-281.58,261.26
35,2025-07-23T15:31:09.646752,BP_TelemetryFPS4Character_C_0,344.64,27.02,-2682.35,-155.66,272.66
36,2025-07-23T15:31:09.847570,BP_TelemetryFPS4Character_C_0,346.25,51.75,-2706.42,-36.36,270.87
37,2025-07-23T15:31:10.083506,BP_TelemetryFPS4Character_C_0,344.73,30.29,-2683.96,-101.51,273.19
38,2025-07-23T15:31:10.251904,BP_TelemetryFPS4Character_C_0,343.02,11.17,-2750.24,-155.94,295.02
