id,timestamp,player_id,aim_offset_x,aim_offset_y,hit_x,hit_y,hit_z
52,2025-07-23T13:34:01.190960,BP_TelemetryFPS4Character_C_0,-19.76,-8.7,-4526.33,595.38,249.09
53,2025-07-23T13:34:01.425941,BP_TelemetryFPS4Character_C_0,-20.34,-46.72,-4652.9,665.49,249.42
54,2025-07-23T13:34:01.828366,BP_TelemetryFPS4Character_C_0,-20.12,-67.61,-4696.93,811.14,249.29
55,2025-07-23T13:34:02.027537,BP_TelemetryFPS4Character_C_0,-20.37,-99.14,-4709.57,929.96,249.42
56,2025-07-23T13:34:02.465089,BP_TelemetryFPS4Character_C_0,-22.84,-70.57,-4488.48,1074.91,250.85
57,2025-07-23T13:34:02.700594,BP_TelemetryFPS4Character_C_0,-23.96,-80.55,-4441.15,1156.28,250.29
58,2025-07-23T13:34:02.900360,BP_TelemetryFPS4Character_C_0,-20.4,-131.2,-4465.08,1287.32,249.43
59,2025-07-23T13:34:03.103018,BP_TelemetryFPS4Character_C_0,-24.41,-83.1,-4173.52,1329.46,251.78
60,2025-07-23T13:34:03.539329,BP_TelemetryFPS4Character_C_0,-25.72,-92.12,-4045.35,1466.67,251.26
61,2025-07-23T13:34:03.739537,BP_TelemetryFPS4Character_C_0,-28.35,-144.1,-4025.12,1618.56,253.94
62,2025-07-23T13:34:04.211479,BP_TelemetryFPS4Character_C_0,-50.13,-122.23,-3882.51,1757.67,278.66
63,2025-07-23T13:34:04.412544,BP_TelemetryFPS4Character_C_0,-42.69,-111.81,-3900.61,1801.26,270.5
64,2025-07-23T13:34:04.615809,BP_TelemetryFPS4Character_C_0,-29.43,-130.23,-3952.08,1861.49,254.58
65,2025-07-23T13:34:04.850789,BP_TelemetryFPS4Character_C_0,-29.03,-81.52,-3934.86,1924.55,254.66
66,2025-07-23T13:34:05.255093,BP_TelemetryFPS4Character_C_0,-20.75,-12.82,-3961.18,2013.92,249.64
67,2025-07-23T13:34:05.455670,BP_TelemetryFPS4Character_C_0,-18.54,-34.07,-4118.54,1940.34,248.39
68,2025-07-23T13:34:05.691104,BP_TelemetryFPS4Character_C_0,-17.73,-46.05,-4270.85,1959.92,247.92
69,2025-07-23T13:34:05.890908,BP_TelemetryFPS4Character_C_0,-17.34,-25.14,-4345.43,2101.03,247.7
70,2025-07-23T13:34:06.292003,BP_TelemetryFPS4Character_C_0,-19.62,-20.82,-4503.01,2071.69,248.98
71,2025-07-23T13:34:06.527419,BP_TelemetryFPS4Character_C_0,-20.49,25.4,-4641.1,2106.64,249.48
72,2025-07-23T13:34:06.728279,BP_TelemetryFPS4Character_C_0,-20.57,48.98,-4761.27,2008.22,249.52
73,2025-07-23T13:34:06.928421,BP_TelemetryFPS4Character_C_0,-21.57,67.25,-4839.82,1881.97,250.09
74,2025-07-23T13:34:07.364714,BP_TelemetryFPS4Character_C_0,-20.5,53.4,-4808.39,1696.79,249.37
75,2025-07-23T13:34:07.564722,BP_TelemetryFPS4Character_C_0,-21.01,90.11,-4854.81,1539.05,249.66
76,2025-07-23T13:34:08.034944,BP_TelemetryFPS4Character_C_0,-21.21,76.78,-4689.97,1404.88,249.7
77,2025-07-23T13:34:08.270366,BP_TelemetryFPS4Character_C_0,-21.66,57.28,-4524.59,1240.07,250.15
78,2025-07-23T13:34:08.471597,BP_TelemetryFPS4Character_C_0,-20.96,72.27,-4475.85,1162.52,249.75
79,2025-07-23T13:34:08.706375,BP_TelemetryFPS4Character_C_0,-22.47,92.27,-4410.72,1059.13,250.62
80,2025-07-23T13:34:08.940340,BP_TelemetryFPS4Character_C_0,-26.43,105.66,-4283.66,936.83,251.49
81,2025-07-23T13:34:09.409715,BP_TelemetryFPS4Character_C_0,-25.62,131.1,-4152.44,810.32,252.41
82,2025-07-23T13:34:09.611979,BP_TelemetryFPS4Character_C_0,-36.36,136.18,-4001.95,743.22,262.14
83,2025-07-23T13:34:09.812020,BP_TelemetryFPS4Character_C_0,-58.37,95.61,-3791.12,753.27,299.59
84,2025-07-23T13:34:10.281516,BP_TelemetryFPS4Character_C_0,-57.65,130.02,-3651.83,782.3,298.53
85,2025-07-23T13:34:10.514217,BP_TelemetryFPS4Character_C_0,-35.04,116.78,-3529.54,844.49,260.59
86,2025-07-23T13:34:10.947537,BP_TelemetryFPS4Character_C_0,-36.61,-143.69,-3552.36,737.14,262.76
87,2025-07-23T13:34:11.149425,BP_TelemetryFPS4Character_C_0,-40.02,-155.57,-3550.53,734.83,267.44
88,2025-07-23T13:34:11.384355,BP_TelemetryFPS4Character_C_0,-39.21,151.3,-3544.13,718.29,272.74
89,2025-07-23T13:34:11.787187,BP_TelemetryFPS4Character_C_0,-40.53,148.23,-3545.11,717.51,274.47
90,2025-07-23T13:34:11.988039,BP_TelemetryFPS4Character_C_0,-38.02,93.2,-3503.03,757.52,264.64
91,2025-07-23T13:34:12.188928,BP_TelemetryFPS4Character_C_0,-57.5,-160.93,-3569.33,665.18,297.96
92,2025-07-23T13:34:12.425235,BP_TelemetryFPS4Character_C_0,-62.75,-151.79,-3576.07,663.28,304.1
93,2025-07-23T13:34:12.861495,BP_TelemetryFPS4Character_C_0,-51.97,-138.39,-3571.28,668.31,283.17
94,2025-07-23T13:34:13.062359,BP_TelemetryFPS4Character_C_0,-37.31,-177.88,-3611.15,687.1,263.71
95,2025-07-23T13:34:13.296070,BP_TelemetryFPS4Character_C_0,-51.44,167.48,-3613.88,684.4,281.67
96,2025-07-23T13:34:13.530672,BP_TelemetryFPS4Character_C_0,-63.47,159.58,-3621.64,685.95,304.38
97,2025-07-23T13:34:13.731892,BP_TelemetryFPS4Character_C_0,-62.23,158.22,-3619.61,685.11,303.79
98,2025-07-23T13:34:14.133646,BP_TelemetryFPS4Character_C_0,-38.28,160.65,-3609.03,681.55,265.2
99,2025-07-23T13:34:14.370469,BP_TelemetryFPS4Character_C_0,-58.6,71.16,-3515.97,735.96,299.95
100,2025-07-23T13:34:14.572071,BP_TelemetryFPS4Character_C_0,-60.26,78.96,-3514.48,737.65,302.17
101,2025-07-23T13:34:15.006411,BP_TelemetryFPS4Character_C_0,-58.06,84.7,-3514.08,734.98,299.09
102,2025-07-23T13:34:15.208736,BP_TelemetryFPS4Character_C_0,-35.86,89.77,-3494.09,772.4,261.73
103,2025-07-23T13:34:15.443588,BP_TelemetryFPS4Character_C_0,-60.53,90.02,-3494.03,780.04,302.45
104,2025-07-23T13:34:15.678319,BP_TelemetryFPS4Character_C_0,-64.4,88.36,-3494.01,786.65,304.64
105,2025-07-23T13:34:15.879186,BP_TelemetryFPS4Character_C_0,-56.14,89.98,-3494.03,775.81,295.16
106,2025-07-23T13:34:16.080684,BP_TelemetryFPS4Character_C_0,-42.26,89.98,-3494.03,772.57,269.98
107,2025-07-23T13:34:16.315776,BP_TelemetryFPS4Character_C_0,-42.8,168.41,-3546.94,778.49,272.44
108,2025-07-23T13:34:16.551369,BP_TelemetryFPS4Character_C_0,-43.26,176.66,-3545.86,780.62,273.93
109,2025-07-23T13:34:16.786263,BP_TelemetryFPS4Character_C_0,-43.26,176.66,-3545.86,780.62,273.93
110,2025-07-23T13:34:17.254491,BP_TelemetryFPS4Character_C_0,-43.26,176.66,-3545.86,780.62,273.93
111,2025-07-23T13:34:17.490924,BP_TelemetryFPS4Character_C_0,-43.26,176.66,-3545.86,780.62,273.93
112,2025-07-23T13:34:17.925517,BP_TelemetryFPS4Character_C_0,-36.92,-109.88,-3518.23,710.62,263.18
113,2025-07-23T13:34:18.125545,BP_TelemetryFPS4Character_C_0,-57.84,-109.88,-3519.86,706.13,298.68
114,2025-07-23T13:34:18.327260,BP_TelemetryFPS4Character_C_0,-65.16,-111.43,-3523.77,695.49,304.52
115,2025-07-23T13:34:18.561842,BP_TelemetryFPS4Character_C_0,-63.22,-115.22,-3522.27,699.0,304.42
116,2025-07-23T13:34:19.000272,BP_TelemetryFPS4Character_C_0,-35.94,-163.77,-3565.35,740.67,262.04
117,2025-07-23T13:34:19.234786,BP_TelemetryFPS4Character_C_0,-35.74,-162.36,-3565.58,740.96,261.71
118,2025-07-23T13:34:19.436425,BP_TelemetryFPS4Character_C_0,-35.57,-161.28,-3565.76,741.17,261.44
119,2025-07-23T13:34:19.671126,BP_TelemetryFPS4Character_C_0,-35.78,-162.64,-3565.53,740.9,261.77
120,2025-07-23T13:34:19.905969,BP_TelemetryFPS4Character_C_0,-35.69,169.45,-3568.21,777.07,261.5
121,2025-07-23T13:34:20.107784,BP_TelemetryFPS4Character_C_0,-35.69,169.45,-3568.21,777.07,261.5
