id,timestamp,player_id,aim_offset_x,aim_offset_y,hit_x,hit_y,hit_z,aimbot
1,2025-06-16T17:52:28.987570,BP_TelemetryFPS4Character_C_0,334.75,32.68,-1315.94,-421.05,269.79,0
2,2025-06-16T17:52:42.741915,BP_TelemetryFPS4Character_C_0,334.92,31.81,-1315.18,-422.09,269.98,0
3,2025-06-16T17:52:44.310565,BP_TelemetryFPS4Character_C_0,339.56,0.09,-1534.26,-503.38,246.88,0
4,2025-06-16T17:52:44.679902,BP_TelemetryFPS4Character_C_0,339.56,0.09,-1551.6,-504.74,253.31,0
5,2025-06-16T17:52:45.015323,BP_TelemetryFPS4Character_C_0,339.56,0.09,-1551.77,-504.88,253.16,0
6,2025-06-17T11:42:00.517837,BP_TelemetryFPS4Character_C_0,344.32,198.22,-1665.22,727.36,251.54,0
7,2025-06-17T11:42:01.110287,BP_TelemetryFPS4Character_C_0,344.32,198.22,-1314.43,842.79,254.68,0
8,2025-06-17T11:42:01.715091,BP_TelemetryFPS4Character_C_0,344.32,198.22,-958.6,959.88,258.72,0
9,2025-06-17T11:42:03.397643,BP_TelemetryFPS4Character_C_0,327.66,96.93,-669.21,811.78,273.05,0
10,2025-06-17T11:42:05.716241,BP_TelemetryFPS4Character_C_0,329.33,101.51,-674.4,811.81,274.04,0
11,2025-06-17T12:14:08.634500,BP_TelemetryFPS4Character_C_0,344.46,355.45,-1208.05,-97.11,261.52,0
12,2025-06-17T12:14:09.139425,BP_TelemetryFPS4Character_C_0,344.46,355.45,-1213.33,-96.69,262.99,0
13,2025-06-17T12:14:09.724433,BP_TelemetryFPS4Character_C_0,344.46,355.45,-1208.3,-97.09,261.59,0
14,2025-06-17T12:14:10.339609,BP_TelemetryFPS4Character_C_0,344.46,355.45,-1299.98,-89.8,260.98,0
15,2025-06-17T12:14:10.867944,BP_TelemetryFPS4Character_C_0,344.46,355.45,-1599.16,-66.01,261.08,0
16,2025-06-17T12:15:47.726817,BP_TelemetryFPS4Character_C_0,339.63,221.52,-245.13,210.22,249.91,0
17,2025-06-17T12:15:48.324803,BP_TelemetryFPS4Character_C_0,339.63,221.52,-236.77,217.62,254.06,0
18,2025-06-17T12:15:48.864258,BP_TelemetryFPS4Character_C_0,339.63,221.52,-236.77,217.62,254.06,0
19,2025-06-17T12:15:49.368759,BP_TelemetryFPS4Character_C_0,339.63,221.52,-236.77,217.62,254.06,0
20,2025-06-17T12:15:49.874097,BP_TelemetryFPS4Character_C_0,339.63,221.52,-236.77,217.62,254.06,0
21,2025-06-18T20:04:38.529775,BP_TelemetryFPS4Character_C_0,331.01,155.9,-2187.69,543.94,242.05,0
22,2025-06-18T20:04:38.681275,BP_TelemetryFPS4Character_C_0,331.01,155.9,-2187.69,543.94,242.05,0
23,2025-06-18T20:04:38.815911,BP_TelemetryFPS4Character_C_0,331.01,155.9,-2187.69,543.94,242.05,0
24,2025-06-18T20:04:39.857859,BP_TelemetryFPS4Character_C_0,338.19,165.73,-2178.51,519.58,264.68,0
25,2025-06-18T20:04:41.437038,BP_TelemetryFPS4Character_C_0,349.16,241.47,-2105.86,748.29,266.41,0
26,2025-06-18T20:05:00.392972,BP_TelemetryFPS4Character_C_0,354.94,154.15,-1451.72,444.46,232.36,0
27,2025-06-18T20:06:32.657986,BP_TelemetryFPS4Character_C_0,340.07,293.69,-1085.06,794.14,254.29,0
28,2025-06-18T20:06:33.287303,BP_TelemetryFPS4Character_C_0,340.42,293.34,-1173.93,995.34,246.81,0
29,2025-06-18T20:06:33.489559,BP_TelemetryFPS4Character_C_0,340.42,293.34,-1224.49,1112.43,249.18,0
30,2025-06-18T20:06:35.513168,BP_TelemetryFPS4Character_C_0,343.95,151.99,-881.64,934.62,258.14,0
31,2025-06-18T20:06:35.747148,BP_TelemetryFPS4Character_C_0,343.95,151.99,-749.81,864.44,259.85,0
32,2025-06-18T20:06:51.686220,BP_TelemetryFPS4Character_C_0,355.93,154.4,-1258.51,208.3,265.75,0
33,2025-06-18T20:06:54.563015,BP_TelemetryFPS4Character_C_0,336.16,322.06,-1536.4,781.66,242.04,0
34,2025-06-18T20:13:20.820726,BP_TelemetryFPS4Character_C_0,350.44,260.55,-3317.36,1099.48,676.79,0
35,2025-06-18T20:13:21.992526,BP_TelemetryFPS4Character_C_0,341.88,263.18,-3307.11,1123.42,661.51,0
36,2025-06-18T20:13:22.329737,BP_TelemetryFPS4Character_C_0,341.88,263.18,-3307.11,1123.42,661.51,0
37,2025-06-18T20:13:22.634316,BP_TelemetryFPS4Character_C_0,341.88,263.18,-3307.11,1123.42,661.51,0
38,2025-06-18T20:13:22.900358,BP_TelemetryFPS4Character_C_0,341.88,263.18,-3307.11,1123.42,661.51,0
39,2025-06-18T20:13:31.454579,BP_TelemetryFPS4Character_C_0,350.11,157.52,-2219.73,1391.73,249.76,0
40,2025-06-18T20:13:31.623498,BP_TelemetryFPS4Character_C_0,349.94,157.69,-2114.75,1347.24,266.66,0
41,2025-06-18T20:13:31.790842,BP_TelemetryFPS4Character_C_0,349.94,157.69,-2063.64,1326.26,276.46,0
42,2025-06-18T20:13:31.958924,BP_TelemetryFPS4Character_C_0,349.94,157.69,-2062.98,1325.99,276.49,0
43,2025-06-18T20:13:32.128935,BP_TelemetryFPS4Character_C_0,349.94,157.69,-2030.31,1312.59,276.29,0
44,2025-06-18T20:24:20.913885,BP_TelemetryFPS4Character_C_0,322.14,322.35,-3005.03,1618.05,402.95,0
