id,timestamp,player_id,aim_offset_x,aim_offset_y,hit_x,hit_y,hit_z,aimbot
50,2025-07-08T18:00:54.661183,BP_TelemetryFPS4Character_C_0,-45.56,91.24,-2315.8,39.09,273.75,1
51,2025-07-08T18:00:54.863432,BP_TelemetryFPS4Character_C_0,-15.47,-19.78,-1939.56,-224.95,266.85,1
52,2025-07-08T18:00:55.062699,BP_TelemetryFPS4Character_C_0,-16.91,-8.83,-1974,-141.73,272.7,1
53,2025-07-08T18:00:55.265209,BP_TelemetryFPS4Character_C_0,-18.12,-16.95,-1938.06,-204.49,248.82,1
54,2025-07-08T18:00:55.467936,BP_TelemetryFPS4Character_C_0,-24.45,-24.35,-2061.09,-205.34,252.47,1
55,2025-07-08T18:00:55.667029,BP_TelemetryFPS4Character_C_0,-26.44,-11.22,-2064.15,-138.8,252.88,1
56,2025-07-08T18:00:55.900651,BP_TelemetryFPS4Character_C_0,-27.96,3,-2129.21,-77.92,281.95,1
57,2025-07-08T18:00:56.102921,BP_TelemetryFPS4Character_C_0,-36.21,6.83,-2148.55,-67.34,262.2,1
58,2025-07-08T18:00:56.337456,BP_TelemetryFPS4Character_C_0,-39.65,64.17,-2258.52,40.1,274.07,1
59,2025-07-08T18:00:56.538805,BP_TelemetryFPS4Character_C_0,-47.76,87.89,-2316.31,25.87,276,1
60,2025-07-08T18:00:56.773511,BP_TelemetryFPS4Character_C_0,-14.94,-19.72,-1942.4,-225.81,265.58,1
61,2025-07-08T18:00:56.974791,BP_TelemetryFPS4Character_C_0,-16.22,-8.82,-1938.92,-148.21,260.68,1
62,2025-07-08T18:00:57.175431,BP_TelemetryFPS4Character_C_0,-17.49,-16.74,-1941.49,-203.91,248.43,1
63,2025-07-08T18:00:57.375340,BP_TelemetryFPS4Character_C_0,-18.62,-4.84,-2004.71,-115.35,266.62,1
64,2025-07-08T18:00:57.576099,BP_TelemetryFPS4Character_C_0,-21.9,-0.47,-2074.91,-90.13,275.44,1
65,2025-07-08T18:00:57.810043,BP_TelemetryFPS4Character_C_0,-25.63,-11.34,-2069.57,-139.61,252.42,1
66,2025-07-08T18:00:58.011661,BP_TelemetryFPS4Character_C_0,-26.87,2.89,-2135.9,-78.46,282.06,1
67,2025-07-08T18:00:58.247976,BP_TelemetryFPS4Character_C_0,-35.11,6.62,-2074.92,-58.86,205.71,1
68,2025-07-08T18:00:58.448339,BP_TelemetryFPS4Character_C_0,-38.72,62.23,-2256.08,45.68,265.56,1
69,2025-07-08T18:00:58.680705,BP_TelemetryFPS4Character_C_0,-50.52,84.42,-2316.63,13.11,277.91,1
70,2025-07-08T18:00:58.883510,BP_TelemetryFPS4Character_C_0,-14.16,-19.67,-1947.09,-226.61,264.31,1
71,2025-07-08T18:00:59.116823,BP_TelemetryFPS4Character_C_0,-15.29,-8.83,-1994.79,-140.98,274.39,1
72,2025-07-08T18:00:59.317243,BP_TelemetryFPS4Character_C_0,-17.55,-4.86,-2006.57,-116.16,264.94,1
73,2025-07-08T18:00:59.551768,BP_TelemetryFPS4Character_C_0,-20.64,-0.52,-2080.28,-90.61,274.25,1
74,2025-07-08T18:00:59.752437,BP_TelemetryFPS4Character_C_0,-24.58,-11.48,-2077.87,-140.36,251.82,1
